input_target_molecule_smiles,mapped_input_target_molecule_smiles,target_substructure_smarts,substructure_atom_map,disconnection_map,synthon_a,synthon_a_label,synthon_b,synthon_b_label,synthon_a_building_block_class,synthon_a_building_block_label,synthon_b_building_block_class,synthon_b_building_block_label,synthon_a_building_block_smiles,synthon_a_building_block_cas,synthon_a_building_block_price,synthon_a_building_block_material,synthon_b_building_block_smiles,synthon_b_building_block_cas,synthon_b_building_block_price,synthon_b_building_block_material
O=C(NCC1CCCCC1)C1=CC=CC2=NC(CCl)=CN12,O=[C:2](NCC1CCCCC1)[c:1]1cccc2nc(CCl)cn21,[c:1]-[C:2],"[1, 2]","[1, 2]",ClCc1cn2c(ccc[cH:1]2)n1,1,O=[CH:2]NCC1CCCCC1,2,hydrogen,3,amine,4,ClCc1cn2ccccc2n1,57892-76-9,432,JWPH3249DFB8-5G,NC(=O)NCC1CCCCC1,5472-36-6,438.9,ENA313839653-2.5G
O=C(NCC1CCCCC1)C1=CC=CC2=NC(CCl)=CN12,O=[C:2](NCC1CCCCC1)[c:1]1cccc2nc(CCl)cn21,[c:1]-[C:2],"[1, 2]","[1, 2]",ClCc1cn2c(ccc[cH:1]2)n1,1,O=[CH:2]NCC1CCCCC1,2,bromide,3,amine,4,ClCc1cn2c(Br)cccc2n1,885275-97-8,375.00,SYX00145-1G,NC(=O)NCC1CCCCC1,5472-36-6,438.9,ENA313839653-2.5G
COC(=O)C1=C(C)C=C(O)C(C)=C1O,CO[C:2](=O)[c:1]1c(C)cc(O)c(C)c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",Cc1c(O)cc(C)[cH:1]c1O,1,CO[CH:2]=O,2,hydrogen,3,hydrogen,4,Cc1cc(O)c(C)c(O)c1,488-87-9,80.30,378275-1G,COC=O,107-31-3,61.10,291056-100ML
COC(=O)C1=C(C)C=C(O)C(C)=C1O,CO[C:2](=O)[c:1]1c(C)cc(O)c(C)c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",Cc1c(O)cc(C)[cH:1]c1O,1,CO[CH:2]=O,2,hydrogen,3,amine,4,Cc1cc(O)c(C)c(O)c1,488-87-9,80.30,378275-1G,COC(N)=O,598-55-0,21.00,246352-100G
COC(=O)C1=C(C)C=C(O)C(C)=C1O,CO[C:2](=O)[c:1]1c(C)cc(O)c(C)c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",Cc1c(O)cc(C)[cH:1]c1O,1,CO[CH:2]=O,2,hydrogen,3,acid,4,Cc1cc(O)c(C)c(O)c1,488-87-9,80.30,378275-1G,COC(=O)C(=O)O,600-23-7,375.9,ENAH03BB3104-5G
COC(=O)C1=C(C)C=C(O)C(C)=C1O,CO[C:2](=O)[c:1]1c(C)cc(O)c(C)c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",Cc1c(O)cc(C)[cH:1]c1O,1,CO[CH:2]=O,2,hydrogen,3,chloride,4,Cc1cc(O)c(C)c(O)c1,488-87-9,80.30,378275-1G,COC(=O)Cl,79-22-1,27.30,M35304-5G
COC(=O)C1=C(C)C=C(O)C(C)=C1O,CO[C:2](=O)[c:1]1c(C)cc(O)c(C)c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",Cc1c(O)cc(C)[cH:1]c1O,1,CO[CH:2]=O,2,acid,3,hydrogen,4,Cc1cc(O)c(C)c(O)c1C(=O)O,4707-46-4,184.8,AMBH58064581-250MG,COC=O,107-31-3,61.10,291056-100ML
COC(=O)C1=C(C)C=C(O)C(C)=C1O,CO[C:2](=O)[c:1]1c(C)cc(O)c(C)c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",Cc1c(O)cc(C)[cH:1]c1O,1,CO[CH:2]=O,2,acid,3,amine,4,Cc1cc(O)c(C)c(O)c1C(=O)O,4707-46-4,184.8,AMBH58064581-250MG,COC(N)=O,598-55-0,21.00,246352-100G
COC(=O)C1=C(C)C=C(O)C(C)=C1O,CO[C:2](=O)[c:1]1c(C)cc(O)c(C)c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",Cc1c(O)cc(C)[cH:1]c1O,1,CO[CH:2]=O,2,acid,3,acid,4,Cc1cc(O)c(C)c(O)c1C(=O)O,4707-46-4,184.8,AMBH58064581-250MG,COC(=O)C(=O)O,600-23-7,375.9,ENAH03BB3104-5G
COC(=O)C1=C(C)C=C(O)C(C)=C1O,CO[C:2](=O)[c:1]1c(C)cc(O)c(C)c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",Cc1c(O)cc(C)[cH:1]c1O,1,CO[CH:2]=O,2,acid,3,chloride,4,Cc1cc(O)c(C)c(O)c1C(=O)O,4707-46-4,184.8,AMBH58064581-250MG,COC(=O)Cl,79-22-1,27.30,M35304-5G
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)cc(O)[c:1]([CH3:2])c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)cc(O)[cH:1]c1O,1,[CH4:2],2,hydrogen,3,hydrogen,4,COC(=O)c1c(C)cc(O)cc1O,3187-58-4,387.5,COM497517061-1G,C,74-82-8,1610.00,463035-24L
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)cc(O)[c:1]([CH3:2])c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)cc(O)[cH:1]c1O,1,[CH4:2],2,hydrogen,3,alcohol,4,COC(=O)c1c(C)cc(O)cc1O,3187-58-4,387.5,COM497517061-1G,CO,67-56-1,30.20,M3641-500ML
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)cc(O)[c:1]([CH3:2])c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)cc(O)[cH:1]c1O,1,[CH4:2],2,hydrogen,3,amine,4,COC(=O)c1c(C)cc(O)cc1O,3187-58-4,387.5,COM497517061-1G,CN,74-89-5,40.10,534102-250ML
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)cc(O)[c:1]([CH3:2])c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)cc(O)[cH:1]c1O,1,[CH4:2],2,hydrogen,3,acid,4,COC(=O)c1c(C)cc(O)cc1O,3187-58-4,387.5,COM497517061-1G,CC(=O)O,64-19-7,67.00,W200611-1KG-K
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)cc(O)[c:1]([CH3:2])c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)cc(O)[cH:1]c1O,1,[CH4:2],2,hydrogen,3,chloride,4,COC(=O)c1c(C)cc(O)cc1O,3187-58-4,387.5,COM497517061-1G,CCl,74-87-3,252.00,294799-200ML
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)cc(O)[c:1]([CH3:2])c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)cc(O)[cH:1]c1O,1,[CH4:2],2,hydrogen,3,bromide,4,COC(=O)c1c(C)cc(O)cc1O,3187-58-4,387.5,COM497517061-1G,CBr,74-83-9,24.10,48624
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)cc(O)[c:1]([CH3:2])c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)cc(O)[cH:1]c1O,1,[CH4:2],2,hydrogen,3,iodide,4,COC(=O)c1c(C)cc(O)cc1O,3187-58-4,387.5,COM497517061-1G,CI,74-88-4,112.00,456756-100ML
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)cc(O)[c:1]([CH3:2])c1O,[c:1]-[C:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)cc(O)[cH:1]c1O,1,[CH4:2],2,hydrogen,3,boronate,4,COC(=O)c1c(C)cc(O)cc1O,3187-58-4,387.5,COM497517061-1G,CB(O)O,13061-96-6,43.80,165336-1G
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)c[c:1]([OH:2])c(C)c1O,[c:1]-[O:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)c[cH:1]c(C)c1O,1,[OH2:2],2,alcohol,3,hydrogen,4,COC(=O)c1c(C)cc(O)c(C)c1O,4707-47-5,40.00,W523305-SAMPLE,O,7732-18-5,12.30,W3500-100ML
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)c[c:1]([OH:2])c(C)c1O,[c:1]-[O:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)c[cH:1]c(C)c1O,1,[OH2:2],2,alcohol,3,alcohol,4,COC(=O)c1c(C)cc(O)c(C)c1O,4707-47-5,40.00,W523305-SAMPLE,OO,7722-84-1,45.20,H1009-5ML
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)c[c:1]([OH:2])c(C)c1O,[c:1]-[O:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)c[cH:1]c(C)c1O,1,[OH2:2],2,alcohol,3,amine,4,COC(=O)c1c(C)cc(O)c(C)c1O,4707-47-5,40.00,W523305-SAMPLE,NO,7803-49-8,42.80,467804-10ML
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)c[c:1]([OH:2])c(C)c1O,[c:1]-[O:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)c[cH:1]c(C)c1O,1,[OH2:2],2,alcohol,3,boronate,4,COC(=O)c1c(C)cc(O)c(C)c1O,4707-47-5,40.00,W523305-SAMPLE,OB(O)O,10043-35-3,55.30,B6768-500G
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)cc(O)c(C)[c:1]1[OH:2],[c:1]-[O:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)cc(O)c(C)[cH:1]1,1,[OH2:2],2,hydrogen,3,hydrogen,4,COC(=O)c1cc(C)c(O)cc1C,27023-05-8,112.2,AMBH303C5A3E-250MG,O,7732-18-5,12.30,W3500-100ML
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)cc(O)c(C)[c:1]1[OH:2],[c:1]-[O:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)cc(O)c(C)[cH:1]1,1,[OH2:2],2,hydrogen,3,alcohol,4,COC(=O)c1cc(C)c(O)cc1C,27023-05-8,112.2,AMBH303C5A3E-250MG,OO,7722-84-1,45.20,H1009-5ML
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)cc(O)c(C)[c:1]1[OH:2],[c:1]-[O:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)cc(O)c(C)[cH:1]1,1,[OH2:2],2,hydrogen,3,amine,4,COC(=O)c1cc(C)c(O)cc1C,27023-05-8,112.2,AMBH303C5A3E-250MG,NO,7803-49-8,42.80,467804-10ML
COC(=O)C1=C(C)C=C(O)C(C)=C1O,COC(=O)c1c(C)cc(O)c(C)[c:1]1[OH:2],[c:1]-[O:2],"[1, 2]","[1, 2]",COC(=O)c1c(C)cc(O)c(C)[cH:1]1,1,[OH2:2],2,hydrogen,3,boronate,4,COC(=O)c1cc(C)c(O)cc1C,27023-05-8,112.2,AMBH303C5A3E-250MG,OB(O)O,10043-35-3,55.30,B6768-500G
COC(=O)C1=C(C)C=C(O)C(C)=C1O,Cc1cc(O)c(C)c(O)c1C(=O)[O:2][CH3:1],[C:1]-[O:2],"[1, 2]","[1, 2]",[CH4:1],1,Cc1cc(O)c(C)c(O)c1C(=O)[OH:2],2,hydrogen,3,hydrogen,4,C,74-82-8,1610.00,463035-24L,Cc1cc(O)c(C)c(O)c1C(=O)O,4707-46-4,184.8,AMBH58064581-250MG
